vertical_code,vertical_name,rank,company_name,company_key,acquiring_likelihood_score,confidence,signals,evidence_count,osm_type,osm_id,lat,lon,website,phone,address,source_tags_json
4000-4799,Transportation Services,214,Castellum Suites Parking,castellum suites parking,38,low,,2,way,1071071353,36.4415129,28.2204509,,,,"{""access"": ""private"", ""amenity"": ""parking"", ""name"": ""Castellum Suites Parking"", ""parking"": ""surface"", ""supervised"": ""no""}"
4000-4799,Transportation Services,215,Car Rentals,car rentals,38,low,,2,way,726047878,37.7531575,20.8869014,,,,"{""amenity"": ""parking"", ""description"": ""Parking for Car Rentals"", ""name"": ""Car Rentals"", ""parking"": ""surface""}"
4000-4799,Transportation Services,216,Arda Tur Bulgaria,arda tur bulgaria,38,low,,2,node,2172238108,40.6432507,22.9293443,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""Arda Tur Bulgaria"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,217,Airport,airport,38,low,,2,node,3651370941,36.4030408,25.4726308,,,,"{""amenity"": ""taxi"", ""name"": ""Airport""}"
4000-4799,Transportation Services,218,Acropole,acropole,38,low,,2,node,10827855116,37.990975,23.7298363,,,,"{""amenity"": ""parking"", ""fee"": ""yes"", ""name"": ""Acropole""}"
4000-4799,Transportation Services,219,Χώρος στάθμευσης έναντι Ζαχαροπλαστείου Jelo,jelo,38,low,,1,way,1198570517,39.6092994,22.4315456,,,,"{""access"": ""yes"", ""amenity"": ""parking"", ""fee"": ""no"", ""name"": ""\u03a7\u03ce\u03c1\u03bf\u03c2 \u03c3\u03c4\u03ac\u03b8\u03bc\u03b5\u03c5\u03c3\u03b7\u03c2 \u03ad\u03bd\u03b1\u03bd\u03c4\u03b9 \u0396\u03b1\u03c7\u03b1\u03c1\u03bf\u03c0\u03bb\u03b1\u03c3\u03c4\u03b5\u03af\u03bf\u03c5 Jelo"", ""parking"": ""surface"", ""surface"": ""asphalt""}"
4000-4799,Transportation Services,220,Φρίκες-Frikes Odysseus's home t,frikes odysseus s home t,38,low,,1,node,3783043422,38.4590428,20.6649763,,,,"{""amenity"": ""ferry_terminal"", ""cargo"": ""passengers;vehicle"", ""ferry"": ""yes"", ""name"": ""\u03a6\u03c1\u03af\u03ba\u03b5\u03c2-Frikes Odysseus's home t"", ""name:el"": ""\u03a6\u03c1\u03af\u03ba\u03b5\u03c2-Frikes Odysseus's home t"", ""name:en"": ""Frikes"", ""name:it"": ""Frikes"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,221,"Τερμ. Στ. Φιλύρου (64, 64Α, 64Ε, 64Κ)",64 64 64 64,38,low,,1,node,5636059395,40.6995737,23.0002958,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u03a4\u03b5\u03c1\u03bc. \u03a3\u03c4. \u03a6\u03b9\u03bb\u03cd\u03c1\u03bf\u03c5 (64, 64\u0391, 64\u0395, 64\u039a)"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,222,"Τερμ. Στ. Παραλία (69Α, 69Κ, 69Τ)",69 69 69,38,low,,1,way,591410509,40.4072936,22.8957689,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u03a4\u03b5\u03c1\u03bc. \u03a3\u03c4. \u03a0\u03b1\u03c1\u03b1\u03bb\u03af\u03b1 (69\u0391, 69\u039a, 69\u03a4)"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,223,"Τερμ. Στ. Ντουράκι Τέρμα (69Ν, 69Ρ)",69 69,38,low,,1,way,591655119,40.3511026,23.0084094,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u03a4\u03b5\u03c1\u03bc. \u03a3\u03c4. \u039d\u03c4\u03bf\u03c5\u03c1\u03ac\u03ba\u03b9 \u03a4\u03ad\u03c1\u03bc\u03b1 (69\u039d, 69\u03a1)"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,224,"Τερμ. Στ. Μηχανιώνας (72, 72Α, 72Β)",72 72 72,38,low,,1,way,593147851,40.4640071,22.8714162,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u03a4\u03b5\u03c1\u03bc. \u03a3\u03c4. \u039c\u03b7\u03c7\u03b1\u03bd\u03b9\u03ce\u03bd\u03b1\u03c2 (72, 72\u0391, 72\u0392)"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,225,"Τερμ. Στ. Κουφαλίων (81, 81Α, 81Β, 81Ε, 81Κ, 90, 90Β, 90Ε, 92, 92Α, 92Ε, 92Ρ)",81 81 81 81 81 90 90 90 92 92 92 92,38,low,,1,way,598600689,40.78641,22.5771787,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u03a4\u03b5\u03c1\u03bc. \u03a3\u03c4. \u039a\u03bf\u03c5\u03c6\u03b1\u03bb\u03af\u03c9\u03bd (81, 81\u0391, 81\u0392, 81\u0395, 81\u039a, 90, 90\u0392, 90\u0395, 92, 92\u0391, 92\u0395, 92\u03a1)"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,226,"Τερμ. Στ. Κορδελιό (19, 19Α)",19 19,38,low,,1,way,575095922,40.6668587,22.8946735,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u03a4\u03b5\u03c1\u03bc. \u03a3\u03c4. \u039a\u03bf\u03c1\u03b4\u03b5\u03bb\u03b9\u03cc (19, 19\u0391)"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,227,"Τερμ. Στ. Ιωνίας (54, 54Α)",54 54,38,low,,1,way,584272872,40.686446,22.8381846,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u03a4\u03b5\u03c1\u03bc. \u03a3\u03c4. \u0399\u03c9\u03bd\u03af\u03b1\u03c2 (54, 54\u0391)"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,228,"Τερμ. Στ. Επανομής (77, 77A, 77B, 77E, 77H, 77K)",77 77a 77b 77e 77h 77k,38,low,,1,way,595923519,40.4288853,22.9296876,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u03a4\u03b5\u03c1\u03bc. \u03a3\u03c4. \u0395\u03c0\u03b1\u03bd\u03bf\u03bc\u03ae\u03c2 (77, 77A, 77B, 77E, 77H, 77K)"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,229,"Τερμ. Στ. 40 Εκκλησιών (15, 15Α, 16)",40 15 15 16,38,low,,1,way,570641397,40.6273058,22.9668938,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u03a4\u03b5\u03c1\u03bc. \u03a3\u03c4. 40 \u0395\u03ba\u03ba\u03bb\u03b7\u03c3\u03b9\u03ce\u03bd (15, 15\u0391, 16)"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,230,"ΤΕΡΜ. ΣΤ. ΑΕΡΟΔΡΟΜΙΟ ΜΑΚΕΔΟΝΙΑ - ΑΦΙΞΕΙΣ (1X, 79, Ν1, Ν1Α)",1x 79 1 1,38,low,,1,way,576843022,40.5240985,22.9770125,,,,"{""amenity"": ""bus_station"", ""bench"": ""yes"", ""bin"": ""yes"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""\u03a4\u0395\u03a1\u039c. \u03a3\u03a4. \u0391\u0395\u03a1\u039f\u0394\u03a1\u039f\u039c\u0399\u039f \u039c\u0391\u039a\u0395\u0394\u039f\u039d\u0399\u0391 - \u0391\u03a6\u0399\u039e\u0395\u0399\u03a3 (1X, 79, \u039d1, \u039d1\u0391)"", ""public_transport"": ""station"", ""shelter"": ""yes"", ""wheelchair"": ""yes""}"
4000-4799,Transportation Services,231,"Τ.Σ. Χορτιάτη (61, 61Α)",61 61,38,low,,1,way,589841389,40.6081958,23.1007296,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u03a4.\u03a3. \u03a7\u03bf\u03c1\u03c4\u03b9\u03ac\u03c4\u03b7 (61, 61\u0391)"", ""public_transport"": ""station"", ""wheelchair"": ""no""}"
4000-4799,Transportation Services,232,"Τ.Σ. Πανόραμα Ν.751 (60A, 60B, 60E)",751 60a 60b 60e,38,low,,1,way,588147473,40.5819568,23.0338922,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u03a4.\u03a3. \u03a0\u03b1\u03bd\u03cc\u03c1\u03b1\u03bc\u03b1 \u039d.751 (60A, 60B, 60E)"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,233,"Τ.Σ. ΠΑΡΑΛΙΑ (69Α, 69Κ, 69Τ, 70)",69 69 69 70,38,low,,1,node,5646268718,40.407304,22.8957315,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u03a4.\u03a3. \u03a0\u0391\u03a1\u0391\u039b\u0399\u0391 (69\u0391, 69\u039a, 69\u03a4, 70)"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,234,Τ.Σ. ΠΑΝΟΡΑΜΑ Ν.751,751,38,low,,1,node,5617647522,40.5819595,23.0338752,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""\u03a4.\u03a3. \u03a0\u0391\u039d\u039f\u03a1\u0391\u039c\u0391 \u039d.751"", ""network"": ""\u039f\u0391\u03a3\u0398"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,235,"Τ.Σ. ΚΕΡΑΣΙΑΣ (77, 77Α, 77Β, 77Ε, 77Κ)",77 77 77 77 77,38,low,,1,node,5677850413,40.4752986,22.867988,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u03a4.\u03a3. \u039a\u0395\u03a1\u0391\u03a3\u0399\u0391\u03a3 (77, 77\u0391, 77\u0392, 77\u0395, 77\u039a)"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,236,"Τ.Σ. ΚΑΛΟΧΩΡΙΟΥ (40, 40Α, 40Κ)",40 40 40,38,low,,1,node,5577820350,40.6414972,22.8563651,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""\u03a4.\u03a3. \u039a\u0391\u039b\u039f\u03a7\u03a9\u03a1\u0399\u039f\u03a5 (40, 40\u0391, 40\u039a)"", ""network"": ""\u039f\u0391\u03a3\u0398"", ""network:wikidata"": ""Q3356150"", ""public_transport"": ""platform""}"
4000-4799,Transportation Services,237,"Τ.Σ. Επανομής ΓΡ88 (88Ε, 88Η)",88 88 88,38,low,,1,node,7809981122,40.4295107,22.9300608,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u03a4.\u03a3. \u0395\u03c0\u03b1\u03bd\u03bf\u03bc\u03ae\u03c2 \u0393\u03a188 (88\u0395, 88\u0397)"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,238,"Τ.Σ. Ακροποτάμου (89Β, 89Ε, 89Κ, 89Ν, 90Β, 90Ε)",89 89 89 89 90 90,38,low,,1,node,7809981111,40.8439529,22.651519,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u03a4.\u03a3. \u0391\u03ba\u03c1\u03bf\u03c0\u03bf\u03c4\u03ac\u03bc\u03bf\u03c5 (89\u0392, 89\u0395, 89\u039a, 89\u039d, 90\u0392, 90\u0395)"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,239,Σφακιανάκης service,service,38,low,,1,way,724344934,37.9136933,23.7434766,,,,"{""access"": ""private"", ""amenity"": ""parking"", ""name"": ""\u03a3\u03c6\u03b1\u03ba\u03b9\u03b1\u03bd\u03ac\u03ba\u03b7\u03c2 service"", ""parking"": ""surface""}"
4000-4799,Transportation Services,240,Συνεταιρισμός Ραδιοταξί Κατερίνης EUROTAXI,eurotaxi,38,low,,1,node,5863611551,40.2743689,22.5151706,,,,"{""amenity"": ""taxi"", ""name"": ""\u03a3\u03c5\u03bd\u03b5\u03c4\u03b1\u03b9\u03c1\u03b9\u03c3\u03bc\u03cc\u03c2 \u03a1\u03b1\u03b4\u03b9\u03bf\u03c4\u03b1\u03be\u03af \u039a\u03b1\u03c4\u03b5\u03c1\u03af\u03bd\u03b7\u03c2 EUROTAXI""}"
4000-4799,Transportation Services,241,"Παλιό Τέρμα B (64, 64Α, 64Ε, 64Κ)",b 64 64 64 64,38,low,,1,node,2172190700,40.694699,23.0004533,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u03a0\u03b1\u03bb\u03b9\u03cc \u03a4\u03ad\u03c1\u03bc\u03b1 B (64, 64\u0391, 64\u0395, 64\u039a)"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,242,Πάρκινγκ Supermaket,supermaket,38,low,,1,way,612927739,39.6632231,20.8576085,,,,"{""access"": ""customers"", ""amenity"": ""parking"", ""name"": ""\u03a0\u03ac\u03c1\u03ba\u03b9\u03bd\u03b3\u03ba Supermaket"", ""parking"": ""surface""}"
4000-4799,Transportation Services,243,"Νέο Κοιμητήριο 2, Νο11",2 11,38,low,,1,node,10699713951,39.3764583,22.8917871,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u039d\u03ad\u03bf \u039a\u03bf\u03b9\u03bc\u03b7\u03c4\u03ae\u03c1\u03b9\u03bf 2, \u039d\u03bf11"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,244,ΝΟΣΟΚΟΜΕΙΟ 15:00 - 07:00,15 00 07 00,38,low,,1,node,2354934126,40.2938049,22.4457444,,,,"{""amenity"": ""taxi"", ""name"": ""\u039d\u039f\u03a3\u039f\u039a\u039f\u039c\u0395\u0399\u039f 15:00 - 07:00""}"
4000-4799,Transportation Services,245,ΝΟΣΟΚΟΜΕΙΟ 07:00 - 15:00,07 00 15 00,38,low,,1,node,2354934119,40.2937149,22.4449076,,,,"{""amenity"": ""taxi"", ""name"": ""\u039d\u039f\u03a3\u039f\u039a\u039f\u039c\u0395\u0399\u039f 07:00 - 15:00""}"
4000-4799,Transportation Services,246,"ΝΟΒ Νο5->ΛΕΧΩΝΙΑ/ΠΛΑΤΑΝΙΔΙΑ, Νο11->Ν. ΚΟΙΜΗΤΗΡΙΟ",5 11,38,low,,1,node,8508595521,39.3509965,22.9653363,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u039d\u039f\u0392 \u039d\u03bf5->\u039b\u0395\u03a7\u03a9\u039d\u0399\u0391/\u03a0\u039b\u0391\u03a4\u0391\u039d\u0399\u0394\u0399\u0391, \u039d\u03bf11->\u039d. \u039a\u039f\u0399\u039c\u0397\u03a4\u0397\u03a1\u0399\u039f"", ""public_transport"": ""station"", ""wheelchair"": ""yes""}"
4000-4799,Transportation Services,247,ΚΤΕΛ ΚΩ Intercity Info,intercity info,38,low,,1,node,8996361117,36.8913008,27.2877872,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u039a\u03a4\u0395\u039b \u039a\u03a9 Intercity Info"", ""public_transport"": ""station"", ""wheelchair"": ""no""}"
4000-4799,Transportation Services,248,"ΚΕΝ. ΑΦΕΤΗΡΙΑ Νο2, Νο4, Νο5, Νο7, Νο9, Νο11, Νο49",2 4 5 7 9 11 49,38,low,,1,node,4391193963,39.3614481,22.9325695,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u039a\u0395\u039d. \u0391\u03a6\u0395\u03a4\u0397\u03a1\u0399\u0391 \u039d\u03bf2, \u039d\u03bf4, \u039d\u03bf5, \u039d\u03bf7, \u039d\u03bf9, \u039d\u03bf11, \u039d\u03bf49"", ""public_transport"": ""station"", ""wheelchair"": ""yes""}"
4000-4799,Transportation Services,249,ΗΛΙΟΝ HOTEL,hotel,38,low,,1,way,549204580,38.3934546,21.826604,,,,"{""amenity"": ""parking"", ""name"": ""\u0397\u039b\u0399\u039f\u039d HOTEL""}"
4000-4799,Transportation Services,250,"Άναυρος, ΑΦΕΤΗΡ Νο1->Ν. ΙΩΝΙΑ, Νο3->ΜΕΤΚΑ, Νο15->ΠΑΛΑΙΑ  -  ΤΕΡΜΑ Νο1, No3, Νο15",1 3 15 1 no3 15,38,low,,1,node,5566316514,39.3506956,22.9633727,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u0386\u03bd\u03b1\u03c5\u03c1\u03bf\u03c2, \u0391\u03a6\u0395\u03a4\u0397\u03a1 \u039d\u03bf1->\u039d. \u0399\u03a9\u039d\u0399\u0391, \u039d\u03bf3->\u039c\u0395\u03a4\u039a\u0391, \u039d\u03bf15->\u03a0\u0391\u039b\u0391\u0399\u0391  -  \u03a4\u0395\u03a1\u039c\u0391 \u039d\u03bf1, No3, \u039d\u03bf15"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,251,Άλλη Μεριά 4 (ΑΦΕΤ+ΤΕΡΜΑ) Νο7->ΑΗΔΟΝΟΦΩΛΙΕΣ,4 7,38,low,,1,node,10703996071,39.3724806,22.9871069,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""\u0386\u03bb\u03bb\u03b7 \u039c\u03b5\u03c1\u03b9\u03ac 4 (\u0391\u03a6\u0395\u03a4+\u03a4\u0395\u03a1\u039c\u0391) \u039d\u03bf7->\u0391\u0397\u0394\u039f\u039d\u039f\u03a6\u03a9\u039b\u0399\u0395\u03a3"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,252,Êlafonissos,elafonissos,38,low,,1,node,305694064,35.2681005,23.5479034,,,,"{""amenity"": ""ferry_terminal"", ""ferry"": ""yes"", ""name"": ""\u00calafonissos"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,253,taxi boats <-> Pedi and Yialos,taxi boats pedi and yialos,38,low,,1,node,3625180081,36.6152493,27.8689517,,,,"{""amenity"": ""ferry_terminal"", ""ferry"": ""yes"", ""name"": ""taxi boats <-> Pedi and Yialos"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,254,soon to be village hospital,soon to be village hospital,38,low,,1,way,274218796,36.6123043,27.8398298,,,,"{""amenity"": ""parking"", ""capacity"": ""50"", ""fee"": ""no"", ""name"": ""soon to be village hospital"", ""park_ride"": ""no"", ""parking"": ""surface"", ""supervised"": ""no""}"
4000-4799,Transportation Services,255,pythio,pythio,38,low,,1,way,652098448,41.3716761,26.6214716,,,,"{""building"": ""yes"", ""layer"": ""1"", ""name"": ""pythio"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,256,permit only,permit only,38,low,,1,way,1287656650,39.1046902,26.5618476,,,,"{""access"": ""permit"", ""amenity"": ""parking"", ""name"": ""permit only""}"
4000-4799,Transportation Services,257,parking πελατών 'Heaven',parking heaven,38,low,,1,way,602480496,35.3380849,25.0681186,,,,"{""amenity"": ""parking"", ""name"": ""parking \u03c0\u03b5\u03bb\u03b1\u03c4\u03ce\u03bd 'Heaven'""}"
4000-4799,Transportation Services,258,parking apollon,parking apollon,38,low,,1,node,278509886,35.5116198,24.0218286,,,,"{""amenity"": ""parking"", ""name"": ""parking apollon""}"
4000-4799,Transportation Services,259,paid card,paid card,38,low,,1,way,1287656647,39.104771,26.5617924,,,,"{""access"": ""permit"", ""amenity"": ""parking"", ""fee"": ""yes"", ""name"": ""paid card""}"
4000-4799,Transportation Services,260,lost,lost,38,low,,1,node,6815505885,36.4339339,25.4230052,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""fixme"": ""Actual station? Correct name?"", ""name"": ""lost"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,261,kikabu beach bar,kikabu beach bar,38,low,,1,way,361191299,40.9034784,24.3497017,,,,"{""access"": ""customers"", ""amenity"": ""parking"", ""fee"": ""no"", ""name"": ""kikabu beach bar"", ""parking"": ""surface"", ""surface"": ""ground""}"
4000-4799,Transportation Services,262,ierapetra boat station,ierapetra boat station,38,low,,1,node,5161444325,35.0076404,25.7400414,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""name"": ""ierapetra boat station"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,263,easy parking,easy parking,38,low,,1,node,4632095187,37.9886346,23.7626893,,,,"{""access"": ""yes"", ""amenity"": ""parking"", ""check_date:fee"": ""2026-01-30"", ""fee"": ""yes"", ""lit"": ""yes"", ""name"": ""easy parking"", ""parking"": ""multi-storey"", ""supervised"": ""yes"", ""surface"": ""concrete""}"
4000-4799,Transportation Services,264,Zorbas,zorbas,38,low,,1,node,10065206657,35.1801958,25.5039467,,,,"{""amenity"": ""parking"", ""name"": ""Zorbas""}"
4000-4799,Transportation Services,265,Xenofontos,xenofontos,38,low,,1,node,6612985604,40.2574687,24.177962,,,,"{""amenity"": ""ferry_terminal"", ""ferry"": ""yes"", ""name"": ""Xenofontos"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,266,Water Village Parking,water village parking,38,low,,1,way,289535451,37.7816059,20.8412431,,,,"{""access"": ""customers"", ""amenity"": ""parking"", ""capacity"": ""600"", ""fee"": ""no"", ""name"": ""Water Village Parking"", ""name:ru"": ""\u0410\u043a\u0432\u0430\u043f\u0430\u0440\u043a"", ""parking"": ""surface"", ""surface"": ""asphalt""}"
4000-4799,Transportation Services,267,Water Taxi Stand,water taxi stand,38,low,,1,node,6913912699,37.2674989,23.156142,,,,"{""amenity"": ""taxi"", ""name"": ""Water Taxi Stand""}"
4000-4799,Transportation Services,268,Water Taxi,water taxi,38,low,,1,node,2925873894,36.6156833,27.8362948,,,,"{""amenity"": ""taxi"", ""boat"": ""yes"", ""motorcar"": ""no"", ""name"": ""Water Taxi"", ""note"": ""Taxi boats every day 10 am, 11am and noon to Nimborio, Agia Marina, Agios Nikolaos, Agios Giorgos, Nanou, Marathounda. The Poseidon goes out most days at 10.30 am (with great lunch of barbecue and salads) either round the island or to St Emilianos""}"
4000-4799,Transportation Services,269,Vothonas,vothonas,38,low,,1,node,12104139904,36.3950772,25.4504422,,,,"{""amenity"": ""bus_station"", ""fixme"": ""translate to Greek letters"", ""name"": ""Vothonas""}"
4000-4799,Transportation Services,270,Volos Port,volos port,38,low,,1,node,3507230289,39.3571981,22.9432186,,,,"{""amenity"": ""ferry_terminal"", ""ferry"": ""yes"", ""name"": ""Volos Port"", ""public_transport"": ""station"", ""wheelchair"": ""yes"", ""wikidata"": ""Q25166598""}"
4000-4799,Transportation Services,271,Vlychada Beach Parking,vlychada beach parking,38,low,,1,way,1193129384,36.3381805,25.4325604,,,,"{""amenity"": ""parking"", ""fee"": ""no"", ""name"": ""Vlychada Beach Parking"", ""park_ride"": ""no"", ""supervised"": ""no""}"
4000-4799,Transportation Services,272,Village parking,village parking,38,low,,1,way,224319625,37.9075039,22.8802555,,,,"{""amenity"": ""parking"", ""name"": ""Village parking"", ""parking"": ""surface""}"
4000-4799,Transportation Services,273,Villa Stasa parking,villa stasa parking,38,low,,1,node,365763656,39.9253886,23.5891522,,,,"{""amenity"": ""parking"", ""capacity"": ""10"", ""name"": ""Villa Stasa parking"", ""parking"": ""surface""}"
4000-4799,Transportation Services,274,Villa Cafe,villa cafe,38,low,,1,node,441300103,36.8556362,27.3405157,,,,"{""amenity"": ""parking"", ""name"": ""Villa Cafe"", ""parking"": ""surface""}"
4000-4799,Transportation Services,275,View,view,38,low,,1,way,444939952,36.36503,25.379708,,,,"{""amenity"": ""parking"", ""name"": ""View"", ""parking"": ""surface"", ""surface"": ""paved""}"
4000-4799,Transportation Services,276,Victoria Taxi station,victoria taxi station,38,low,,1,node,1240865344,37.9929456,23.7301953,,,,"{""amenity"": ""taxi"", ""name"": ""Victoria Taxi station""}"
4000-4799,Transportation Services,277,Vasiliki Ferry Terminal,vasiliki ferry terminal,38,low,,1,node,9029984999,38.6277239,20.6044362,,,,"{""amenity"": ""ferry_terminal"", ""ferry"": ""yes"", ""name"": ""Vasiliki Ferry Terminal"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,278,Vai,vai,38,low,,1,way,70983947,35.2540469,26.2624047,,,,"{""amenity"": ""parking"", ""name"": ""Vai"", ""parking"": ""surface""}"
4000-4799,Transportation Services,279,Underground Parking SYNGROU-FIX,underground parking syngrou fix,38,low,,1,node,2436926751,37.9638086,23.7261997,,,,"{""amenity"": ""parking_entrance"", ""covered"": ""yes"", ""fee"": ""yes"", ""name"": ""Underground Parking SYNGROU-FIX""}"
4000-4799,Transportation Services,280,Tropicana Parking Lot,tropicana parking lot,38,low,,1,way,405069948,40.2633669,22.5939881,,,,"{""amenity"": ""parking"", ""capacity"": ""10"", ""name"": ""Tropicana Parking Lot"", ""parking"": ""surface"", ""survey:date"": ""2016""}"
4000-4799,Transportation Services,281,Travelworx,travelworx,38,low,,1,way,163372001,40.5269526,22.9915268,,,,"{""amenity"": ""parking"", ""name"": ""Travelworx"", ""parking"": ""surface""}"
4000-4799,Transportation Services,282,Tourist Buses,tourist buses,38,low,,1,node,926671246,37.7534661,20.8869353,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""description"": ""Departure of the tourist busses"", ""name"": ""Tourist Buses"", ""public_transport"": ""station""}"
4000-4799,Transportation Services,283,Tourist Bus Parking,tourist bus parking,38,low,,1,node,3103592830,35.339027,25.1366558,,,,"{""amenity"": ""bus_station"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Tourist Bus Parking"", ""public_transport"": ""station"", ""wheelchair"": ""yes""}"
4000-4799,Transportation Services,284,Tinos Beach,tinos beach,38,low,,1,way,264442127,37.5533892,25.1380183,,,,"{""access"": ""customers"", ""amenity"": ""parking"", ""name"": ""Tinos Beach"", ""parking"": ""surface""}"
4000-4799,Transportation Services,285,Tilos,tilos,38,low,,1,node,671007826,36.4171938,27.3864137,,,,"{""amenity"": ""ferry_terminal"", ""ferry"": ""yes"", ""name"": ""Tilos"", ""name:el"": ""\u039b\u03b9\u03bc\u03ac\u03bd\u03b9 \u03a4\u03ae\u03bb\u03bf\u03c5"", ""public_transport"": ""station"", ""wikidata"": ""Q25168426""}"
4000-4799,Transportation Services,286,Theodorelos,theodorelos,38,low,,1,node,12383165152,37.9949879,23.7301655,,,,"{""amenity"": ""parking"", ""level"": ""-1"", ""name"": ""Theodorelos""}"
4000-4799,Transportation Services,287,Theo Star,theo star,38,low,,1,way,1127673176,35.2912533,25.4571808,,,,"{""access"": ""customers"", ""amenity"": ""parking"", ""fee"": ""no"", ""name"": ""Theo Star"", ""parking"": ""surface""}"
4000-4799,Transportation Services,288,Thalatta Camp (camping Kalamitsi),thalatta camp camping kalamitsi,38,low,,1,way,509484084,39.98847,23.9867001,,,,"{""access"": ""customers"", ""amenity"": ""parking"", ""name"": ""Thalatta Camp (camping Kalamitsi)"", ""parking"": ""surface"", ""surface"": ""ground""}"
4000-4799,Transportation Services,289,Taxi rank,taxi rank,38,low,,1,node,1755891941,39.5369881,21.7926776,,,,"{""amenity"": ""taxi"", ""name"": ""Taxi rank""}"
4000-4799,Transportation Services,290,Taxi Station Vlycha,taxi station vlycha,38,low,,1,way,1038031845,36.1094224,28.0657859,,,,"{""amenity"": ""taxi"", ""name"": ""Taxi Station Vlycha""}"
4000-4799,Transportation Services,291,Taxi Station Sunwing,taxi station sunwing,38,low,,1,node,3984351885,36.4068928,28.2268419,,,,"{""amenity"": ""taxi"", ""int_name"": ""TAXI STATION"", ""name"": ""Taxi Station Sunwing"", ""name:en"": ""Taxi Station Sunwing""}"
4000-4799,Transportation Services,292,Taxi Station S.FRANCISCO,taxi station s francisco,38,low,,1,node,2342077871,36.4393586,28.2244585,,,,"{""amenity"": ""taxi"", ""capacity"": ""10"", ""name"": ""Taxi Station S.FRANCISCO""}"
4000-4799,Transportation Services,293,Taxi Station Pastida,taxi station pastida,38,low,,1,node,8541490294,36.3886105,28.1352844,,,,"{""amenity"": ""taxi"", ""name"": ""Taxi Station Pastida""}"
